Complexity,Loss,Equation
1,0.34094918,"-1.5742283"
3,0.28234503,"(-0.8588107 * x0)"
4,0.19758533,"(cos(x0) - 1.5741518)"
5,0.10289521,"((x0 * -0.49488026) - 0.7968615)"
6,0.03916898,"((x0 * -0.5941067) - sin(x0))"
7,0.032693435,"(((0.4265808 * x0) + -1.9076189) * x0)"
8,0.00088848575,"(inv(-0.42254856 * (x0 - -0.47652093)) * x0)"
10,0.0008762327,"(inv(-0.42254856 * (x0 + (1.7877717 * 0.2687769))) * x0)"
12,0.00087608554,"(inv((((-0.42657962 + 0.0041922447) * x0) - 0.31884658) + 0.1155465) * x0)"
13,0.00017204687,"(inv(-0.2396297 * ((inv(0.8325795 + x0) + x0) + x0)) * x0)"
14,0.00016764841,"(inv(-0.23940365 * ((inv(inv(1.2130672) + x0) + x0) + x0)) * x0)"
15,7.37631e-5,"(inv(sin(-0.24064714) * (sin(inv(x0 - -0.6344564)) + (x0 + x0))) * x0)"
18,1.5999807e-5,"(inv(-0.42254856 * (x0 - (inv((-0.42254856 + -0.5887325) - (1.4244419 + sin(x0))) - 0.15354566))) * x0)"
20,1.3907223e-5,"(inv(-0.42254856 * (x0 - (inv(inv(sin(-0.42254856 + -0.5887325)) - (1.2155455 + sin(x0))) - 0.15354566))) * x0)"
