Complexity,Loss,Equation
1,0.33445084,"-1.6396575"
4,0.23912601,"(-1.0475367 - sin(x0))"
5,0.1313445,"(-0.92161864 - (0.4571175 * x0))"
6,0.0034928338,"(inv(0.4228237 + x0) - 2.3824196)"
7,0.0034928266,"(inv(x0 + inv(2.3653798)) - 2.3824787)"
8,0.0030695556,"(inv((x0 * 1.0456586) + 0.4228237) - 2.3653798)"
10,0.00079066475,"(inv(((x0 + 1.0550632) * x0) - -0.47261837) - 2.1277764)"
11,0.00067163445,"(inv(((x0 * sin(x0)) + 0.44934678) + x0) - 2.211813)"
12,0.00020920073,"(inv(0.48542553 + (x0 * ((x0 + x0) + 0.8962765))) - 2.050029)"
13,0.00020206883,"(inv((sin(x0 + -0.12639023) * x0) - (-0.4557832 - x0)) - 2.2139144)"
15,0.00014993547,"((inv((x0 * ((sin(x0) + x0) - -0.79557675)) + 0.47805) - -0.29447362) - 2.383912)"
16,7.589515e-5,"(inv((((0.4635722 - sin(x0)) + x0) + x0) + (sin(x0) * x0)) - 2.1567702)"
19,5.6017114e-5,"((inv((x0 * ((x0 * (inv(0.81716776) + sin(x0))) + cos(x0))) + 0.47805) - -0.29447362) - 2.383912)"
20,4.640686e-5,"((inv((x0 * ((x0 * (inv(0.82440287) + sin(x0))) + cos(x0))) + 0.47805) - sin(-0.29447362)) - 2.383912)"
