Complexity,Loss,Equation
1,0.13932392,"-1.6946136"
5,0.099617854,"(-1.3620368 + (-0.21172853 * x0))"
6,0.06452118,"(-2.1654315 + inv(x0 + 0.95981693))"
7,0.029442951,"(-0.9998206 - cos(inv(0.50942904 + x0)))"
8,0.009553929,"((inv(0.03681687 + x0) * 0.06923588) - 1.8020728)"
9,0.0051603424,"(-0.8774005 - cos(inv((0.41332364 + x0) + x0)))"
10,0.0017278388,"((inv(0.0147736985 + (x0 * x0)) * 0.02558801) - 1.8289131)"
11,0.0013674108,"((inv(inv(79.19617) + (x0 * x0)) * 0.023020562) - 1.8253909)"
13,0.0013582152,"((inv(inv(76.286545) + ((0.007876357 + x0) * x0)) * 0.023807112) - 1.8253909)"
15,0.0013565382,"((inv(inv(76.286545 - x0) + (x0 * (x0 + 0.00608586))) * 0.023807112) - 1.8253909)"
16,0.0011854323,"(((inv(inv(75.73386) + (x0 * x0)) - cos(-1.7891445 * x0)) * 0.02460118) - 1.8295261)"
18,0.0011804865,"(((inv(inv(75.73386) + (x0 * x0)) - cos((-1.7891445 * x0) - -0.112113215)) * 0.02460118) - 1.8295261)"
19,0.0011188703,"(((inv(inv(76.286545) + (x0 * x0)) + (cos(cos(x0) + x0) * x0)) * 0.023807112) - 1.8253909)"
